,logical_PI_KFA45.K.value,peakLineDensity,WS_emittance_x,WS_emittance_y,deltaP_P_rms,WS_intensity
2017-10-20 13:12:53.500,0.003323,1.25,1.6051827915,2.05863660606,0.000834,77.68014
2017-10-20 13:13:34.300,0.003711,1.25,2.37402054465,2.31348630471,0.000834,77.98434
2017-10-20 13:14:15.100,0.003545,1.25,1.76884653807,1.99536171211,0.000834,78.83613
2017-10-20 13:14:55.900,0.003808,1.25,1.71485526649,1.99970814849,0.000834,80.64619
2017-10-20 13:15:36.700,0.00328,1.25,1.75724837349,2.1587376443,0.000834,76.79792
2017-10-20 13:16:17.500,0.00349,1.25,2.21427637189,2.32802619306,0.000834,79.67271
2017-10-20 13:16:58.300,0.003297,1.25,1.6117471441,2.02757802323,0.000834,78.83613
2017-10-20 13:17:39.100,0.003789,1.25,2.28097421374,2.28274499719,0.000834,78.45587
2017-10-20 13:18:19.900,0.003238,1.25,1.95613710628,2.27873086776,0.000834,77.10213
2017-10-20 13:19:00.700,0.003681,1.25,2.57624138453,2.29505236967,0.000834,76.75229
2017-10-20 13:19:41.500,0.003706,1.25,1.61638201502,1.91152267454,0.000834,76.82835
2017-10-20 13:20:22.300,0.003735,1.25,1.54937366185,2.00130385379,0.000834,79.74876
2017-10-20 13:21:03.100,0.003284,1.25,1.78146346939,2.0986136893,0.000834,77.31508
2017-10-20 13:21:43.900,0.003465,1.25,2.05215892308,2.34687528986,0.000834,79.90087
2017-10-20 13:22:24.700,0.003385,1.25,1.71152721223,2.07268219357,0.000834,78.51672
2017-10-20 13:23:05.500,0.003696,1.25,1.78032950312,2.18505211646,0.000834,80.35719
2017-10-20 13:24:04.300,0.003484,1.25,1.71937896844,1.9456439454,0.000834,80.00735
2017-10-20 13:24:40.300,0.003759,1.25,1.82077876451,2.20622815209,0.000834,85.07245
2017-10-20 13:25:16.300,0.00334,1.25,1.82781289656,2.1957524857,0.000834,82.5475
2017-10-20 13:25:52.300,0.003387,1.25,2.1745926279,2.38504329033,0.000834,80.35719
2017-10-20 13:26:28.300,0.003319,1.25,1.83391934604,2.39358429871,0.000834,84.90513
2017-10-20 13:27:04.300,0.003314,1.25,2.18256417888,2.36405869611,0.000834,80.60056
2017-10-20 13:27:40.300,0.003736,1.25,2.16314687734,2.53419558173,0.000834,83.52097
2017-10-20 13:28:16.300,0.003569,1.25,1.72554498815,2.24872100538,0.000834,83.14072
2017-10-20 13:28:52.300,0.003552,1.25,1.65422374787,1.96947646369,0.000834,85.46793
2017-10-20 13:29:28.300,0.003319,1.25,1.63398217735,2.10780811192,0.000834,84.76823
2017-10-20 13:30:04.300,0.003726,1.25,2.22037213706,2.60475384282,0.000834,84.15982
2017-10-20 13:30:40.300,0.003593,1.25,1.75693119479,2.11092462769,0.000834,82.51708
2017-10-20 13:31:16.300,0.003437,1.25,1.49726084415,1.95096058931,0.000834,85.11808
