,WS_intensity,logical_PI_KFA45.K.value,peakLineDensity,WS_emittance_x,WS_emittance_y,deltaP_P_rms
2017-10-10 14:37:49.900,78.39503,0.003368,1.22,2.05911423748,1.64810037929,0.000834
2017-10-10 14:38:21.100,77.64971,0.003781,1.22,2.05911423748,1.64810037929,0.000834
2017-10-10 14:38:57.100,76.81313,0.003518,1.22,1.33233227521,1.12865850785,0.000834
2017-10-10 14:39:33.100,78.15166,0.003551,1.22,1.70390256441,1.48727875286,0.000834
2017-10-10 14:45:34.300,76.28076,0.003367,1.22,1.5810759652,1.24028346046,0.000834
2017-10-10 14:46:13.900,74.53156,0.003295,1.22,2.16435371059,1.84307812062,0.000834
2017-10-10 14:46:46.300,75.55066,0.003275,1.22,2.16435371059,1.84307812062,0.000834
2017-10-10 14:47:22.300,78.89697,0.003712,1.22,2.27472846379,1.54026893396,0.000834
2017-10-10 14:47:58.300,77.13255,0.003684,1.22,1.42051134789,1.0181931652,0.000834
2017-10-10 14:48:33.100,77.96914,0.003353,1.22,1.33016431446,1.05184087047,0.000834
2017-10-10 14:49:10.300,74.63802,0.003756,1.22,2.13014274893,1.39216825793,0.000834
2017-10-10 14:49:45.100,76.93482,0.003634,1.22,1.42793746162,1.53160679982,0.000834
2017-10-10 14:50:22.300,78.1973,0.003618,1.22,1.49207128952,1.14436237658,0.000834
2017-10-10 14:50:57.100,78.37981,0.00381,1.22,1.38111967138,0.942285860317,0.000834
2017-10-10 14:51:33.100,77.16298,0.003259,1.22,1.44195124698,1.22763374189,0.000834
2017-10-10 14:52:09.100,78.28855,0.003484,1.22,2.31568682265,1.81223095726,0.000834
2017-10-10 14:52:45.100,78.66882,0.003522,1.22,1.88766249741,1.66539452462,0.000834
2017-10-10 14:53:21.100,77.64971,0.003576,1.22,1.69412160293,1.60248531679,0.000834
2017-10-10 14:53:57.100,72.82797,0.003288,1.22,1.52085601912,0.914174466818,0.000834
2017-10-10 14:54:33.100,79.30766,0.00362,1.22,2.25929001041,1.57664567038,0.000834
2017-10-10 14:55:09.100,76.93482,0.00327,1.22,1.44593537164,1.26292726577,0.000834
2017-10-10 14:55:45.100,78.41024,0.003561,1.22,2.30248808783,1.81097802794,0.000834
2017-10-10 14:56:21.100,76.73708,0.00365,1.22,1.6989067635,1.0554309528,0.000834
2017-10-10 14:56:57.100,77.68014,0.003521,1.22,1.43261520715,1.15524748924,0.000834
2017-10-10 14:57:33.100,78.60797,0.003596,1.22,1.73096114982,1.69305953857,0.000834
